bom_id,startdate
57095,2017-07-20 23:00:00
17110,2017-07-21 02:00:00
27054,2017-07-21 02:00:00
1006,2017-07-21 02:00:00
18200,2017-07-21 02:00:00
52088,2017-07-21 02:00:00
200212,2017-07-21 02:00:00
81049,2017-07-21 01:54:00
90192,2017-07-21 01:30:00
9265,2017-07-21 02:00:00
18012,2017-07-21 02:00:00
48250,2017-08-04 01:50:00
1007,2017-07-21 02:00:00
33308,2017-07-21 02:00:00
250063,2019-02-11 23:40:00
33328,2017-09-28 02:20:00
36026,2017-07-20 23:00:00
40856,2017-07-20 23:00:00
31209,2017-07-21 02:00:00
84070,2017-07-20 23:00:00
43015,2017-07-20 23:00:00
79103,2017-07-21 01:54:00
9964,2017-07-21 02:00:00
15131,2017-07-20 23:30:00
6072,2017-08-03 01:00:00
40004,2017-07-21 02:00:00
74034,2017-07-20 23:00:00
39322,2017-07-21 02:00:00
6105,2017-07-21 02:00:00
56243,2017-07-21 02:00:00
10622,2017-07-21 01:00:00
40854,2017-07-20 23:00:00
90171,2017-07-21 01:54:00
95063,2017-07-20 23:00:00
23000,2017-07-21 02:00:00
38000,2017-07-20 23:00:00
58012,2017-07-21 02:00:00
61397,2017-07-20 23:00:00
250092,2019-02-08 19:00:00
87166,2017-07-21 01:55:00
3057,2017-07-20 01:00:00
40043,2017-07-21 02:00:00
33208,2017-07-21 02:00:00
14808,2017-12-13 02:50:00
13015,2017-07-19 01:00:00
26095,2017-07-21 02:00:00
23875,2017-07-21 02:00:00
505051,2017-07-21 02:00:00
68228,2017-07-21 02:00:00
17099,2017-07-20 23:30:00
37053,2017-07-21 02:00:00
35129,2017-07-21 02:00:00
6099,2017-07-21 01:00:00
250055,2019-01-21 23:40:00
300039,2017-07-21 00:00:00
23343,2017-07-20 23:30:00
66196,2017-07-21 02:00:00
200715,2017-07-21 02:00:00
39122,2017-07-21 01:00:00
79099,2017-07-21 01:54:00
8296,2017-07-21 02:00:00
63077,2017-07-20 23:00:00
76064,2017-07-21 01:54:00
40093,2017-07-21 02:00:00
60139,2017-07-21 02:00:00
74258,2017-07-21 02:00:00
18106,2017-07-21 02:00:00
3003,2017-07-21 02:00:00
14299,2017-07-21 02:00:00
23894,2017-07-21 02:00:00
34084,2017-07-20 23:00:00
91306,2017-07-21 02:00:00
18069,2017-07-20 23:30:00
75032,2017-07-20 23:00:00
61055,2017-07-21 02:00:00
300000,2017-07-21 02:00:00
24511,2017-07-20 23:30:00
14274,2017-07-21 02:00:00
200831,2017-07-21 02:00:00
51162,2017-07-21 02:00:00
6044,2017-07-21 01:00:00
91009,2017-07-20 23:00:00
250085,2018-12-06 23:20:00
58077,2017-07-21 02:00:00
39326,2017-07-21 02:00:00
24580,2017-07-21 02:00:00
86361,2017-07-21 01:54:00
66124,2017-07-20 23:00:00
250095,2018-11-07 02:10:00
78018,2017-07-21 01:54:00
73151,2017-07-21 02:00:00
81125,2017-07-21 01:55:00
55136,2017-07-20 23:00:00
59030,2017-07-20 23:00:00
59140,2017-07-20 23:00:00
46142,2017-08-04 01:50:00
41560,2020-12-18 03:00:00
76047,2017-07-20 23:00:00
88166,2018-11-07 10:50:00
84016,2017-07-21 01:54:00
20062,2017-07-21 02:00:00
54003,2017-07-19 23:00:00
200892,2017-07-21 02:00:00
18230,2017-07-21 02:00:00
31037,2017-07-21 02:00:00
49000,2017-07-21 02:00:00
250083,2019-01-21 22:50:00
200601,2017-07-21 02:00:00
22841,2017-07-21 02:00:00
4095,2017-07-21 02:00:00
23885,2017-07-21 02:00:00
200783,2017-07-21 02:00:00
9999,2017-07-21 02:00:00
9214,2017-07-21 02:00:00
69137,2017-07-21 02:00:00
250030,2018-06-05 05:20:00
61425,2017-07-21 02:00:00
10626,2017-07-20 01:00:00
56037,2017-07-20 23:00:00
56242,2017-07-20 23:00:00
70339,2017-07-21 02:00:00
61250,2017-07-21 02:00:00
87184,2017-07-21 01:54:00
22050,2017-07-21 02:00:00
80015,2017-07-20 23:00:00
18083,2017-07-21 02:00:00
39085,2017-07-20 23:00:00
94198,2017-07-21 02:00:00
68263,2017-12-13 02:20:00
60013,2017-07-20 23:00:00
63292,2017-07-21 02:00:00
77094,2017-07-21 01:54:00
250097,2018-11-29 09:10:00
66037,2017-07-21 02:00:00
94255,2017-07-21 02:00:00
250073,2017-11-23 00:40:00
4090,2017-07-21 02:00:00
73007,2017-07-20 23:00:00
76031,2017-07-21 01:54:00
22008,2017-07-20 23:30:00
250048,2017-09-06 05:30:00
58212,2017-07-21 02:00:00
48247,2017-09-04 05:50:00
40842,2017-07-21 02:00:00
35139,2017-07-21 02:00:00
14949,2017-07-21 02:00:00
90184,2017-07-21 01:54:00
97053,2020-07-24 23:00:00
250133,2022-02-17 06:50:00
10111,2017-07-21 01:00:00
96071,2017-07-20 23:00:00
39083,2017-07-21 02:00:00
9225,2017-07-21 02:00:00
33119,2017-07-21 02:00:00
250057,2018-11-07 02:20:00
30124,2017-07-21 02:00:00
68262,2017-07-21 02:00:00
14254,2017-07-21 02:00:00
11019,2017-07-21 01:00:00
250026,2018-09-10 13:40:00
39123,2017-07-21 02:00:00
14626,2017-07-21 02:00:00
91291,2017-07-21 02:00:00
40209,2017-07-20 23:00:00
14253,2017-07-20 23:30:00
14981,2018-09-17 23:20:00
23034,2017-07-21 02:00:00
61260,2017-07-21 02:00:00
400139,2017-07-21 00:50:00
33210,2017-07-21 02:00:00
30161,2017-07-21 02:00:00
250127,2021-11-04 22:30:00
109521,2022-06-29 01:20:00
5017,2017-07-21 02:00:00
15528,2018-07-17 23:30:00
250125,2020-10-25 21:10:00
91331,2017-07-21 02:00:00
18040,2017-07-20 23:30:00
41095,2017-07-20 23:00:00
56238,2017-07-21 02:00:00
92003,2017-07-20 23:00:00
63303,2017-07-21 02:00:00
250034,2017-11-27 01:00:00
92045,2017-07-21 02:00:00
12044,2017-07-21 02:00:00
22018,2017-07-20 23:30:00
18079,2017-07-20 23:30:00
90173,2017-07-21 01:54:00
74037,2017-07-21 02:00:00
66161,2017-07-21 02:00:00
15603,2017-07-20 23:30:00
86351,2017-07-20 23:00:00
14153,2017-07-20 23:30:00
16097,2017-07-21 02:00:00
250130,2022-02-01 23:50:00
92114,2017-07-21 02:00:00
250062,2017-08-09 10:40:00
250042,2018-11-07 02:10:00
11017,2017-07-20 01:00:00
14041,2017-07-21 02:00:00
3032,2017-07-21 02:00:00
40211,2017-07-21 00:30:00
72043,2017-07-20 23:00:00
9592,2017-07-21 01:00:00
507017,2021-02-04 01:00:00
73141,2017-07-20 23:00:00
250113,2020-07-30 00:50:00
94087,2017-07-21 02:00:00
31210,2017-07-21 02:00:00
140008,2018-03-26 07:20:00
29038,2017-07-21 02:00:00
24584,2017-07-21 02:00:00
16065,2017-07-20 23:30:00
69132,2017-07-21 02:00:00
68264,2018-11-07 02:40:00
10092,2017-07-20 07:00:00
1018,2017-08-04 01:00:00
33013,2017-07-20 23:00:00
62101,2017-07-21 02:00:00
48031,2017-07-20 23:00:00
250144,2022-05-03 04:30:00
200736,2017-07-21 02:00:00
66062,2017-07-21 02:00:00
250075,2018-01-16 22:10:00
12071,2017-07-21 02:00:00
43091,2017-07-21 02:00:00
