bom_id
obs_period_id
obs_period_time_utc
wind_src
level_index
level_type
air_temperature
air_temperature_units
apparent_temp
apparent_temp_units
dew_point
dew_point_units
rel_humidity
rel_humidity_units
delta_t
delta_t_units
wind_dir
wind_dir_deg
wind_dir_deg_units
wind_spd_kmh
wind_spd_kmh_units
wind_gust_spd
wind_gust_spd_units
pres
pres_units
qnh_pres
qnh_pres_units
pressure_msl
pressure_msl_units
rainfall
rainfall_units
rain_ten
rain_ten_units
rain_hour
rain_hour_units
rainfall_24hr
rainfall_24hr_units
maximum_air_temperature
maximum_air_temperature_units
minimum_air_temperature
minimum_air_temperature_units
maximum_gust_dir
maximum_gust_kmh
maximum_gust_kmh_units
maximum_gust_spd
maximum_gust_spd_units
weather
cloud
visibility
sea_height
swell_height
swell_period
swell_dir
rainfall_stl
rainfall_etl
rainfall_stu
rainfall_etu
rainfall_24hr_stl
rainfall_24hr_etl
rainfall_24hr_stu
rainfall_24hr_etu
max_air_temp_stl
max_air_temp_etl
max_air_temp_stu
max_air_temp_etu
min_air_temp_stl
min_air_temp_etl
min_air_temp_stu
min_air_temp_etu
max_gust_kts_stl
max_gust_kts_etl
max_gust_kts_stu
max_gust_kts_etu
max_gust_kmh_stl
max_gust_kmh_etl
max_gust_kmh_stu
max_gust_kmh_etu
max_gust_dir_stl
max_gust_dir_etl
max_gust_dir_stu
max_gust_dir_etu
cloud_base
cloud_oktas
cloud_type
cloud_type_id
press_tend
timestep_dur_sec
